transaction_id,timestamp,user_id,amount,transaction_type,merchant,location,device,ip_address
9bf9594a-2f63-4957-a385-709dc8180347,2024-07-09 23:52:13.670152,b25d404b-f616-4355-8d7a-e7ca6e25ea22,82782,credit,Reese LLC,Cassandrashire,mobile,200.153.44.82
6766bd31-82ec-4351-98e2-b63ce29e6ef2,2022-06-29 04:38:35.748924,4341ac67-86fc-4714-9b32-5b7cd3b941c0,54493,debit,Beasley Inc,Greenfurt,desktop,102.221.247.248
58af6a38-5e6f-46b4-96da-52b50e4caed0,2023-07-17 16:36:08.151746,693a94e0-a6a6-4882-9ffe-2f4a30ff69fb,71346,debit,Hayden-Graham,Lake Robinfort,mobile,21.211.80.122
35b3f89c-3752-4420-891e-dffb15e92f0d,2024-12-03 02:52:20.372481,8c241225-67f2-415c-8a26-1d2230edb293,51766,debit,Gordon Inc,Clinemouth,desktop,116.185.99.35
6b7908a2-8ae1-4a65-9707-2a8467e26bc9,2021-11-19 17:47:52.161527,56c47d18-c6ec-4f42-99ec-275ce71a459f,48510,credit,"Martin, Young and Porter",North Jeffery,mobile,102.237.160.92
5dd8204e-ece0-4aa5-83a5-4ee0f3c37139,2022-03-02 21:29:11.724621,308727c1-d41f-47eb-baaf-4a9394bddc4e,18961,credit,Nichols Inc,Johnsonville,mobile,137.137.32.221
fe2984dd-74d7-415e-9094-eaa1dea1919a,2024-07-27 11:53:07.007460,962d59a1-c2e6-4dc4-b442-cac211a8bd14,26496,credit,Walsh-Martinez,East Brian,desktop,1.166.28.95
48053482-bff0-42f3-a2f6-3868f736e0e6,2024-08-24 13:49:50.197850,29d6ab06-2272-4758-80aa-fdae1ce7387d,17552,credit,Long LLC,South Brendaville,mobile,168.162.60.81
055fef6c-034d-4c1e-b6f0-fec5a2c21874,2025-01-14 19:07:30.896826,d8be48dc-66c9-453d-b495-1efbabf6a53b,45164,debit,Johnson-Taylor,Moranport,mobile,119.16.14.184
38e12073-5d8e-4b70-8469-ac35a95ed113,2021-07-02 10:31:21.239382,76b4e6f9-1ad2-4a13-8601-984358fdd295,18004,debit,Jackson-Ramos,New Valerie,desktop,168.95.7.131
eee2b545-de00-410a-83b8-871fc306a5b0,2024-06-30 07:22:42.393567,9182056c-067d-44b1-b3b7-af7ae76c4da7,74138,debit,Nichols-Gibson,Whiteland,tablet,21.162.222.69
3aa790a9-c8ca-43e9-8881-54abc96f471a,2023-11-07 20:32:46.182761,fda2840d-d56a-4abb-8eb0-69bf35515f27,48391,credit,"Forbes, Davis and Parks",Nicolefurt,mobile,6.24.144.236
c765ed39-4eb1-4689-bf98-cf7f89963695,2023-11-28 05:09:26.692896,1dd84d5c-222e-4d47-a9be-13b0b2d5e2de,51968,debit,"Hunt, Murray and Miller",Lake Christinabury,desktop,60.24.188.80
e79029eb-82b8-43b6-acf0-11f71637316f,2021-08-01 11:25:29.784832,efb2d82b-a98b-4528-a7a4-d5d1a94a0e0f,15784,debit,Harrison Group,Port Robert,mobile,189.75.15.6
720b1213-0627-45be-aa34-f9c8faf255ba,2020-08-28 16:27:29.824224,2d464ba7-08dd-49d9-8e54-1ba8f8250b5c,21772,debit,Walker-Caldwell,Penningtonland,mobile,210.249.212.247
11b1a31c-ff37-40cd-9172-57c72f9b759f,2022-03-28 02:12:33.142696,4d91caad-a6ae-4f8a-9fb1-11234d41965e,87344,credit,"Frazier, Craig and Richardson",Herreratown,tablet,99.65.165.160
9311cace-b5c3-41f9-b411-211f903e7585,2020-01-13 05:30:12.199371,c5c1c6b3-e13f-4a69-a17e-ab89fa6a3d2b,75238,credit,Gibbs-Edwards,South Jeffreyfurt,mobile,200.47.196.121
e8aa86b3-eb4e-4430-a551-ad3ca9f0d182,2024-01-22 04:14:40.615512,2e57a552-f225-45b4-9b13-22516ce65fb2,74721,debit,"Logan, Jackson and Vasquez",West Kaylaport,tablet,144.104.242.141
61504601-7c71-47d9-991c-17027801b1a0,2021-01-10 23:31:27.087419,1e591d7f-2890-4b57-ac24-4c7c14bdd6db,31684,credit,Dominguez-Richards,South Glenn,mobile,219.154.143.30
fcc0d89b-5b64-447d-bcb5-a829e8f2b1b2,2020-05-08 23:19:42.301966,ddbe01eb-ec27-4478-8762-e982a8195c34,79796,credit,Williams-Hawkins,Dunnfurt,tablet,130.147.99.170
443b58fc-95ed-4b61-ae3b-655d9bbcd742,2021-05-02 14:41:17.935919,5a036187-c4e4-4459-bf09-da940dfc1045,85445,credit,Davis-Garcia,Lake Kimberly,tablet,5.3.20.39
32a0b215-92f4-4ddf-90a8-2fe6128bdb9a,2021-05-20 07:05:43.445514,64658a0c-13d5-4139-b435-d4bceb17f34c,51226,credit,Williams-Williamson,Perezview,mobile,61.150.35.219
0cac2a9d-db00-4807-963a-7402fc93eb7a,2020-12-13 13:34:16.355954,78025b5b-7961-4d3c-80a3-a105138b68cd,60237,debit,"Watson, Washington and Simmons",Berryfort,mobile,15.217.31.87
613a0fa7-ea98-44d4-8c85-55f5fe865fd1,2023-11-18 02:26:59.271572,e3029bd1-3d2e-4ecb-9f68-f8208519dbc0,55069,credit,Jones-Bradley,West Susan,mobile,132.227.86.32
f647ea4d-e657-4747-a79b-7606b5abfef3,2020-10-09 09:49:40.161584,010d1bf4-a1f8-4529-bb41-32a45d804de4,71661,debit,Rodriguez-Nicholson,New Charlesview,tablet,215.243.66.248
